TeamName,total_spend_crore,avg_rpr_batting,num_purchases,best_pick
Gujarat Lions,4.3,21.42,3,29.24
Gujarat Titans,30.3,10.13,9,20.73
Chennai Super Kings,130.35,8.35,27,42.0
Sunrisers Hyderabad,198.9,8.05,44,38.43
Delhi Capitals,184.15,7.9,49,19.96
Kolkata Knight Riders,125.35,7.89,29,27.15
Rising Pune Supergiant,24.8,7.71,5,14.02
Mumbai Indians,120.0,6.79,25,27.05
Royal Challengers Bengaluru,146.5,6.64,31,19.31
Rajasthan Royals,122.15,6.13,25,15.71
Punjab Kings,212.8,6.1,40,22.06
Lucknow Super Giants,55.1,4.3,9,12.58
