TeamName,avg_rpr_batting,avg_rpr_bowling,bat_score,bowl_score,franchise_value_score
Gujarat Lions,21.42,2.292,100.0,59.8,79.9
Rajasthan Royals,6.13,3.229,10.7,100.0,55.4
Chennai Super Kings,8.35,2.706,23.7,77.5,50.6
Rising Pune Supergiant,7.71,2.505,19.9,68.9,44.4
Kolkata Knight Riders,7.89,2.427,21.0,65.6,43.3
Delhi Capitals,7.9,2.419,21.0,65.2,43.1
Mumbai Indians,6.79,2.496,14.5,68.5,41.5
Sunrisers Hyderabad,8.05,2.279,21.9,59.2,40.6
Royal Challengers Bengaluru,6.64,2.28,13.7,59.3,36.5
Gujarat Titans,10.13,1.679,34.1,33.4,33.8
Punjab Kings,6.1,1.762,10.5,37.0,23.8
Lucknow Super Giants,4.3,0.9,0.0,0.0,0.0
